new_path,topic,year,author,title,original_path
01_Sceletium_Pharmacology/2023 - Gericke - Sceletium tortuosum -derived mesembrine significantly contributes to the anxi..._1.pdf,01_Sceletium_Pharmacology,2023,Johané Gericke,"Sceletium tortuosum -derived mesembrine significantly contributes to the anxiolytic effect of Zembrin®, but its anti-depressant effect may require synergy of multiple plant constituents",Other_Collections/Gericke et al. - 2024 - Sceletium tortuosum-derived mesembrine significant.pdf
01_Sceletium_Pharmacology/2011 - Harvey - Pharmacological actions of the South African medicinal and functional food pl....pdf,01_Sceletium_Pharmacology,2011,Alan L. Harvey,Pharmacological actions of the South African medicinal and functional food plant Sceletium tortuosum and its principal alkaloids,Other_Collections/Harvey et al. - 2011 - Pharmacological actions of the South African medic.pdf
01_Sceletium_Pharmacology/2020 - JSCR-08-14509 2476..2481.pdf,01_Sceletium_Pharmacology,2020,,JSCR-08-14509 2476..2481,Other_Collections/Hoffman et al. - 2020 - Ergogenic Effects of 8 Days of Sceletium Tortuosum.pdf
01_Sceletium_Pharmacology/2019 - Hofford - Neuroimmune mechanisms of psychostimulant and opioid use disorders.pdf,01_Sceletium_Pharmacology,2019,"Rebecca S. Hofford, Scott J. Russo, Drew D. Kiraly",Neuroimmune mechanisms of psychostimulant and opioid use disorders,Other_Collections/Hofford et al. - 2019 - Neuroimmune mechanisms of psychostimulant and opio 2.pdf
01_Sceletium_Pharmacology/2023 - James Faber et al.   2022   The Importance of Sceletium tortuosum (L.).pdf,01_Sceletium_Pharmacology,2023,,,Other_Collections/James Faber et al. - 2022 - The Importance of Sceletium tortuosum (L.) .pdf
01_Sceletium_Pharmacology/2014 - Administrator - S-EM-8-2-165-14-272-Sobiecki-J-F-Tx[7].pmd.pdf,01_Sceletium_Pharmacology,2014,Administrator,S-EM-8-2-165-14-272-Sobiecki-J-F-Tx[7].pmd,Other_Collections/Jean-Francois - 2014 - Psychoactive Plants A Neglected Area of Ethnobota.pdf
01_Sceletium_Pharmacology/2018 - ESPD50NigelGerickepaper.pdf.pdf,01_Sceletium_Pharmacology,2018,,ESPD50NigelGerickepaper.pdf,"Other_Collections/Kabbo’s !Kwaiń_ The Past, Present and Possible-1.pdf"
01_Sceletium_Pharmacology/2018 - ESPD50NigelGerickepaper.pdf_1.pdf,01_Sceletium_Pharmacology,2018,,ESPD50NigelGerickepaper.pdf,"Other_Collections/Kabbo’s !Kwaiń_ The Past, Present and Possible.pdf"
02_Ethnopharmacology/2022 - Kalicharan - Ethnopharmacology and biological activities of the Aizoaceae.pdf,02_Ethnopharmacology,2022,B. Kalicharan,Ethnopharmacology and biological activities of the Aizoaceae,Other_Collections/Kalicharan et al. - 2023 - Ethnopharmacology and biological activities of the.pdf
01_Sceletium_Pharmacology/2016 - Sceletium tortuosum demonstrates in vitro anti-HIV and free radical scavengin....pdf,01_Sceletium_Pharmacology,2016,,Sceletium tortuosum demonstrates in vitro anti-HIV and free radical scavenging activity,Other_Collections/Kapewangolo et al. - 2016 - Sceletium tortuosum demonstrates in vitro anti-HIV.pdf
"06_Related_Compounds/2017 - Klak - Out of southern Africa Origin, biogeography and age of the Aizooideae (Aizoa....pdf",06_Related_Compounds,2017,Cornelia Klak,"Out of southern Africa: Origin, biogeography and age of the Aizooideae (Aizoaceae)","Other_Collections/Klak et al. - 2017 - Out of southern Africa Origin, biogeography and a.pdf"
01_Sceletium_Pharmacology/2018 - Koob - Neurobiology of addiction a neurocircuitry analysis.pdf,01_Sceletium_Pharmacology,2018,"George F Koob, Nora D Volkow",Neurobiology of addiction: a neurocircuitry analysis,Other_Collections/Koob and Volkow - 2016 - Neurobiology of addiction a neurocircuitry analys 2.pdf
01_Sceletium_Pharmacology/2018 - Koob - Neurobiology of addiction a neurocircuitry analysis_1.pdf,01_Sceletium_Pharmacology,2018,"George F Koob, Nora D Volkow",Neurobiology of addiction: a neurocircuitry analysis,Other_Collections/Koob and Volkow - 2016 - Neurobiology of addiction a neurocircuitry analys-1.pdf
01_Sceletium_Pharmacology/2018 - Koob - Neurobiology of addiction a neurocircuitry analysis_1.pdf,01_Sceletium_Pharmacology,2018,"George F Koob, Nora D Volkow",Neurobiology of addiction: a neurocircuitry analysis,Other_Collections/Koob and Volkow - 2016 - Neurobiology of addiction a neurocircuitry analys.pdf
05_Khoi_San_Traditional/2021 - Amit - Kotadiya et al.   In Silico Docking Analysis of Few Antidepressant P.pdf,05_Khoi_San_Traditional,2021,Amit,,Other_Collections/Kotadiya et al. - In Silico Docking Analysis of Few Antidepressant P.pdf
"01_Sceletium_Pharmacology/2016 - Krstenansky - Mesembrine alkaloids_ Review of their occurrence, chemistry, and pharmacology.pdf",01_Sceletium_Pharmacology,2016,John L. Krstenansky,"Mesembrine alkaloids_ Review of their occurrence, chemistry, and pharmacology","Other_Collections/Krstenansky - 2017 - Mesembrine alkaloids Review of their occurrence, .pdf"
"02_Ethnopharmacology/2011 - Leonti - future is written Impact of scripts on the cognition, selection, knowledge a....pdf",02_Ethnopharmacology,2011,Marco Leonti,"The future is written: Impact of scripts on the cognition, selection, knowledge and transmission of medicinal plant use and its implications for ethnobotany and ethnopharmacology",Other_Collections/Leonti - 2011 - The future is written Impact of scripts on the co.pdf
"01_Sceletium_Pharmacology/2017 - Lewis - Addiction and the Brain Development, Not Disease.pdf",01_Sceletium_Pharmacology,2017,Marc Lewis,"Addiction and the Brain: Development, Not Disease","Other_Collections/Lewis - 2017 - Addiction and the Brain Development, Not Disease-1.pdf"
"01_Sceletium_Pharmacology/2017 - Lewis - Addiction and the Brain Development, Not Disease_1.pdf",01_Sceletium_Pharmacology,2017,Marc Lewis,"Addiction and the Brain: Development, Not Disease","Other_Collections/Lewis - 2017 - Addiction and the Brain Development, Not Disease.pdf"
05_Khoi_San_Traditional/2007 - 06_Low.indd.pdf,05_Khoi_San_Traditional,2007,,06_Low.indd,Other_Collections/Low - 2007 - Different Histories of Buchu Euro-American Approp-1.pdf
05_Khoi_San_Traditional/2012 - Johnson - Microsoft Word - Template.doc.pdf,05_Khoi_San_Traditional,2012,Andrew Johnson,Microsoft Word - Template.doc,Other_Collections/Low - 2007 - Different Histories of Buchu Euro-American Approp-2.pdf
05_Khoi_San_Traditional/2007 - 06_Low.indd_1.pdf,05_Khoi_San_Traditional,2007,,06_Low.indd,Other_Collections/Low - 2007 - Different Histories of Buchu Euro-American Approp-3.pdf
05_Khoi_San_Traditional/2012 - Johnson - Microsoft Word - Template.doc_1.pdf,05_Khoi_San_Traditional,2012,Andrew Johnson,Microsoft Word - Template.doc,Other_Collections/Low - 2007 - Different Histories of Buchu Euro-American Approp.pdf
05_Khoi_San_Traditional/2016 - Khoisan Wind Hunting and Healing_1.pdf,05_Khoi_San_Traditional,2016,,Khoisan Wind: Hunting and Healing,Other_Collections/Low - 2007 - Khoisan Wind Hunting and Healing-1.pdf
05_Khoi_San_Traditional/2016 - Khoisan Wind Hunting and Healing_1.pdf,05_Khoi_San_Traditional,2016,,Khoisan Wind: Hunting and Healing,Other_Collections/Low - 2007 - Khoisan Wind Hunting and Healing.pdf
05_Khoi_San_Traditional/2007 - 06_Low.indd_1.pdf,05_Khoi_San_Traditional,2007,,06_Low.indd,Other_Collections/Low Different Histories of Buchu EuroAmerican Approp.pdf
01_Sceletium_Pharmacology/2022 - Luo - network pharmacology-based approach to explore the therapeutic potential of S....pdf,01_Sceletium_Pharmacology,2022,"Yangwen Luo, Luchen Shan, Lipeng Xu, Srinivas Patnala, Isadore Kanfer, Jiahao Li, Pei Yu, Xu Jun",A network pharmacology-based approach to explore the therapeutic potential of Sceletium tortuosum in the treatment of neurodegenerative disorders,Other_Collections/Luo et al. - 2022 - A network pharmacology-based approach to explore t 2.pdf
01_Sceletium_Pharmacology/2019 - Makolo - Mesembrine_ The archetypal psycho-active Sceletium alkaloid.pdf,01_Sceletium_Pharmacology,2019,Felix Makolo,Mesembrine_ The archetypal psycho-active Sceletium alkaloid,Other_Collections/Makolo et al. - 2019 - Mesembrine The archetypal psycho-active Sceletium-1.pdf
01_Sceletium_Pharmacology/2019 - Makolo - Mesembrine_ The archetypal psycho-active Sceletium alkaloid_1.pdf,01_Sceletium_Pharmacology,2019,Felix Makolo,Mesembrine_ The archetypal psycho-active Sceletium alkaloid,Other_Collections/Makolo et al. - 2019 - Mesembrine The archetypal psycho-active Sceletium.pdf
01_Sceletium_Pharmacology/2017 - Manda - Quantification of mesembrine and mesembrenone in mouse plasma using UHPLCQTo....pdf,01_Sceletium_Pharmacology,2017,"Vamshi K. Manda, Bharathi Avula, Mohammad K. Ashfaq, Naohito Abe, Ikhlas A. Khan, Shabana I. Khan",Quantification of mesembrine and mesembrenone in mouse plasma using UHPLCQToFMS: Application to a pharmacokinetic study,Other_Collections/Manda et al. - 2017 - Quantification of mesembrine and mesembrenone in m-1.pdf
01_Sceletium_Pharmacology/2017 - Manda - Quantification of mesembrine and mesembrenone in mouse plasma using UHPLCQTo..._1.pdf,01_Sceletium_Pharmacology,2017,"Vamshi K. Manda, Bharathi Avula, Mohammad K. Ashfaq, Naohito Abe, Ikhlas A. Khan, Shabana I. Khan",Quantification of mesembrine and mesembrenone in mouse plasma using UHPLCQToFMS: Application to a pharmacokinetic study,Other_Collections/Manda et al. - 2017 - Quantification of mesembrine and mesembrenone in m.pdf
